"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 14:12:21 MSK 2026","Wed May 20 14:12:21 MSK 2026","576","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","getPostById_existingId_returnsPost","getPostById_existingId_returnsPost",""
"passed","Wed May 20 14:12:21 MSK 2026","Wed May 20 14:12:22 MSK 2026","812","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","createPost_withValidData_returns201","createPost_withValidData_returns201",""
"passed","Wed May 20 14:12:19 MSK 2026","Wed May 20 14:12:19 MSK 2026","264","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","getAllPosts_returnsOkStatus","getAllPosts_returnsOkStatus",""
"passed","Wed May 20 14:12:18 MSK 2026","Wed May 20 14:12:19 MSK 2026","427","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","deletePost_existingId_returns200","deletePost_existingId_returns200",""
"passed","Wed May 20 14:12:19 MSK 2026","Wed May 20 14:12:21 MSK 2026","1584","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","getPostsByUserId_returnsFilteredList","getPostsByUserId_returnsFilteredList",""
"passed","Wed May 20 14:12:16 MSK 2026","Wed May 20 14:12:18 MSK 2026","2371","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","","dev.shreyaspatil.foodium.api.JsonPlaceholderApiTest","getPostById_nonExistingId_returns404","getPostById_nonExistingId_returns404",""
